id,name,deck,first_appeared_in_game,site_detail_url,games,friends,enemies,locations,concepts,objects
2762,Boyd,"A member of the Greil Mercenaries who tends to be a bit rash, yet dependable.",Fire Emblem: Path of Radiance,https://www.giantbomb.com/boyd/3005-2762/,Fire Emblem: Radiant Dawn; Fire Emblem: Path of Radiance,Brom; Greil; Ike; Micaiah; Mist; Oscar; Rolf; Sothe; Titania,Ashera; Ashnard,Tellius,Beorc; Class Change; Greil Mercenaries; Random Number Generation; Triangle Attack; Weapon Triangle,Axe; Bow
1276,Boyd Cooper,"Boyd Cooper, or ""The Milkman,"" is a mentally troubled security guard who appears in the game Psychonauts. His mind is one of the many that Razputin must explore to halt an evil plot.",Psychonauts,https://www.giantbomb.com/boyd-cooper/3005-1276/,Psychonauts,Crispin; Milla Vodello; Morceau Oleander; Razputin; Sasha Nein,,Collective Unconscious; Milkman Conspiracy; Whispering Rock Psychic Summer Camp,Insanity; Mind Control; Voice Acting,Explosives; Milk; Molotov Cocktail; Psycho Portal
12919,Boyd Travers,Boyd Travers is the main character in Medal of Honor: Airborne,Medal of Honor: Airborne,https://www.giantbomb.com/boyd-travers/3005-12919/,Medal of Honor: Airborne,,Adolf Hitler; Storm Elite,Europe; France; Normandy,Full Body Awareness; The Allies; World War II,Drum Magazine; Gewehr 43; M1 Garand; M1918 Browning Automatic Rifle; Parachute; STG 44; Tommy Gun
51041,Boyfriend,,Friday Night Funkin,https://www.giantbomb.com/boyfriend/3005-51041/,Friday Night Funkin,Girlfriend; Pico,Daddy Dearest,,,Microphone
41304,Boyle, A anthropomorphic parrot who is a member of Captain Celaeno's crew in My Little Pony: The Movie. He is missing his hand and has a hook in place of it.,My Little Pony: Friendship is Magic,https://www.giantbomb.com/boyle/3005-41304/,My Little Pony: Friendship is Magic,Applejack; Captain Celaeno; Fluttershy; Lix Spittle; Mullet; Pinkamena Diane Pie; Princess Skystar; Rainbow Dash; Rarity; Spike; Squabble; Twilight Sparkle,The Storm King,,Anthropomorphism; Birds; Cartoon Character; Licensed Game; Parrot; Pirate; Talking Animal,
18001,Bozzeye,"Bozzeye is your move tutor in Banjo-Kazooie: Grunty's Revenege, he is also Bottles and Jam Jars distant relative.",Banjo-Kazooie: Grunty's Revenge,https://www.giantbomb.com/bozzeye/3005-18001/,Banjo-Kazooie: Grunty's Revenge,Banjo; Kazooie; Mumbo Jumbo,Gruntilda,Spiral Mountain,Descendants of Other Characters; Jinjo; Mentor,Beard; Musical Notes
5199,Bozzie Baranta,Bozzie Baranta is a Dib-doob pod racer pilot. He is a racer in Star Wars Episode I: Racer.,Star Wars: Episode I - Racer,https://www.giantbomb.com/bozzie-baranta/3005-5199/,Star Wars: Racer & Commando Combo; Star Wars: Episode I - Racer,,"Aldar Beedo; Ark ""Bumpy"" Roose; Ben Quadinaros; Boles Roor; Clegg Holdfast; Cy Yunga; Dud Bolt; Ebe Endocott; Elan Mak; Fud Sang; Gasgano; Jinn Reeso; Mars Guo; Mawhonic; Neva Kee; Ody Mandrell; Ratts Tyerell; Sebulba; Slide Paramita; Teemto Pagalies; Toy Dampner; Wan Sandage",Star Wars Galaxy; Tatooine,Anti-Gravity Racing; Future Sport; Licensed Game,Airborne Hovercraft
12563,Bra,"Bra, or ""Bulla"", is the daughter of Vegeta and Bulma. She appears at the very end of Dragon Ball Z and makes occasional appearances in Dragon Ball GT and Super.",Dragon Ball Z: Budokai Tenkaichi 2,https://www.giantbomb.com/bra/3005-12563/,Dragon Ball: Super Divers; Dragon Ball: The Breakers; Dragon Ball Fusions; DragonBall Z: Dokkan Battle; Dragon Ball Z: Infinite World; Dragon Ball Z: Bakuretsu Impact; Dragon Ball Z: Budokai Tenkaichi 2,Bulma; Bulpan; Chi-Chi; Dr. Brief; Goku; Good Buu; Goten; Hercule; Krillin; Marron; Mrs. Brief; Pan; Trunks; Uub; Vegeta; Videl,Baby,,Flight; Galick Gun; Games Based on Anime; Half-Breed; Licensed Game; Saiyan; Z Fighters,
23276,Brabham,"An engineer who upgrades Vyse's ""stolen"" ship, the Delphinus.",Skies of Arcadia,https://www.giantbomb.com/brabham/3005-23276/,Skies of Arcadia: Legends; Skies of Arcadia,Izmael; Vyse,,,Non-Player Character,Hammer; Wrench
46974,Brack,"Brack is a supporting character and former antagonist from the Space Channel 5 series. He is a Morolian in a dark, blue suit who is obsessed with the drums, who likes to bang on them consistently, dubbing himself as the ""Morolian Drummer Boy"". Eventually, he would become Texas' backup for the Western Sector Space Police.",Space Channel 5,https://www.giantbomb.com/brack/3005-46974/,Dreamcast Collection; Space Channel 5: Ulala's Cosmic Attack; Space Channel 5: Part 2; Ulala's Channel J; Space Channel 5,Ambrosia DiFlibula; Brandy Smith; Clork; Jaguar; Pudding; Space Bird Mistress; Texas; Ulala; Valala Petrie,Brandy Smith; Fuse; Jaguar; Padding; Pudding; Purge Junior; Ulala,Space,Morolian; Police,Drums
